Comment,Source
Mark Carney dominated the race to replace Justin Trudeau. Now what?  CBC.ca,Google News
Liberal Party of Canada announces Mark Carney as Leader  Liberal Party of Canada,Google News
Prime Minister Carney to strengthen ties with France and the United Kingdom and reaffirm Canada’s sovereignty  Prime Minister of Canada,Google News
"Mark Carney | Liberal Party, Biography, & Facts  Britannica",Google News
Mark Carney takes Liberal party leadership in landslide 1st ballot win  APTN News,Google News
"Banker Mark Carney Wins Race to Lead Liberal Party, and Canada  The New York Times",Google News
"Who is Mark Carney, Canada’s new Liberal leader and next prime minister?  Al Jazeera English",Google News
Mark Carney: Canada's next PM vows to win trade war with Trump  BBC.com,Google News
Mark Carney wins race to replace Justin Trudeau  SooToday,Google News
"Mark Carney to Donald Trump: ‘Canada never, ever will be part of America’  POLITICO",Google News
"Mark Carney sworn in as prime minister, unveils leaner cabinet  National Post",Google News
Lorne Gunter: Mark Carney had an easy ride into role as Liberal leader and new PM  Edmonton Journal,Google News
"Who is Mark Carney, Canada’s new prime minister  The Associated Press",Google News
"As new PM, Mark Carney says Canada is in a ‘moment of crisis’  Global News Kingston",Google News
Swearing-in of the 30th Canadian Ministry  Prime Minister of Canada,Google News
Liberal leadership race: Mark Carney elected in landslide to be next prime minister  CBC.ca,Google News
FIRST READING: Mark Carney's not really supposed to be doing anything  National Post,Google News
Prime Minister Mark Carney tries to turn the page  CBC.ca,Google News
How long will Mark Carney's honeymoon in Quebec last?  CBC.ca,Google News
Mark Carney steps into an unprecedented moment  CBC.ca,Google News
"The outside man moves inside. Meet Mark Carney, Canada's 24th prime minister  National Post",Google News
"Prime Minister Mark Carney vows to get ‘straight to work,’ hints election coming  CTV News",Google News
Mark Carney wins race to replace Trudeau as Canada's prime minister  Reuters Canada,Google News
"Mark Carney is the new prime minister, here's what's unusual about it  Ottawa Citizen",Google News
"After landslide victory, Mark Carney meets with Trudeau as transition to power begins  CBC News",Google News
"Mark Carney aims for smaller cabinet, team planning to drop over a dozen ministers: sources  CBC News",Google News
Mark Carney’s victory getting mixed reviews from Indigenous Liberals  APTN News,Google News
Mark Carney live updates: Canada's next PM vows to win trade war as Ontario plans electricity tariffs on US  BBC.com,Google News
"Carney takes power, calling it a 'solemn duty' to serve as PM in a time of crisis  CBC News",Google News
"Mark Carney sworn in as Canada’s new prime minister, replacing Trudeau  Al Jazeera English",Google News
"Carney transition team met with PMO staff Tuesday, hope for PM swearing-in by Friday  CBC.ca",Google News
Mark Carney arrives at Rideau Hall for swearing-in  CBC.ca,Google News
Mark Carney elected as new Liberal leader. What’s next?  Global News Kingston,Google News
Canada: Mark Carney sworn in as 24th prime minister  DW (English),Google News
"Terry Glavin: Who is this Mark Carney guy, anyway?  National Post",Google News
"Prime Minister Mark Carney vows to get ‘straight to work,’ hints election coming  CTV News",Google News
Mark Carney wins Liberal Party vote to replace Trudeau as Canada’s prime minister  PBS NewsHour,Google News
"Mark Carney 'has what it takes' to deal with Trump, say Manitoba politicians  CBC.ca",Google News
Mark Carney could be Canada's shortest-serving prime minister  CBC.ca,Google News
Mark Carney camp offers role to former Quebec premier Jean Charest: sources  CBC News,Google News
Mark Carney prepares tighter cabinet with many Trudeau stalwarts out  The Globe and Mail,Google News
Read Mark Carney’s first remarks as prime minister  Global News Kingston,Google News
"What you need to know about Mark Carney, Canada’s next prime minister  The Logic",Google News
‘No mandate to govern’: The Hub reacts to Mark Carney becoming Canada’s 24th prime minister  The Hub,Google News
Mark Carney to be sworn in as prime minister on Friday  Toronto Star,Google News
"Freeland to be transport minister, Guilbeault Quebec lieutenant in Carney cabinet: sources  CBC News",Google News
Mark Carney vows to keep ‘Canada strong’ against Donald Trump after Liberal leadership victory  Toronto Star,Google News
Read and watch Mark Carney's full victory speech after winning Liberal leadership  CBC News,Google News
Would Mark Carney be Canada’s first unelected prime minister?  CityNews Toronto,Google News
