timestamp,comment,source
N/A,Call the Election. NOW.,YouTube
N/A,CALL AN ELECTION!!!,YouTube
N/A,In Canada you don’t have to be elected to be Prime Minster you just have to be in the WEF where democracy is extinct!,YouTube
N/A,"Great...We've got a new PM who stood alongside our old narcissistic PM (Trudeau), who had ethics violations, conflicts of interests, lies, conflicts of interests, lies, scandals and is corrupt, and has faced no significant repercussions for any of it. he has made a mockery of our ""Democracy"". He also went out of his way to incite and legitimize hate and division during the pandemic. He should be in jail, and so should those who were in his party and remained silent. Let alone Carney has handled finances for the last 5ish years and we're not doing so well. SMH.",YouTube
N/A,Election now. Let the people decide.,YouTube
N/A,Ok now call election,YouTube
N/A,He was not voted in by Canadians. We need an election,YouTube
N/A,"We still have an election, right?",YouTube
N/A,Wef master at your service,YouTube
N/A,Not a damn thing about serving the people.,YouTube
N/A,Gross. Traded up a WEF stooge for a WEF chair.,YouTube
N/A,True allegiance to WEF!,YouTube
N/A,Ok call a election now so the people of Canada can pick a real prime minster,YouTube
N/A,This guy went to Epstein Island many many times and we all know what kind of stuff went down over there so this guy definitely needs to not be the Prime Minister of Canada,YouTube
N/A,WEF PUPPET,YouTube
N/A,"""You will own nothing and be happy"" -from someone in the world economic forum",YouTube
N/A,Selected not elected,YouTube
N/A,"Selected, not elected.",YouTube
N/A,Now call an election,YouTube
N/A,Nothing said representing the citizens of Canada,YouTube
N/A,Was this comment written by a toddler?,YouTube
N/A,Some of you clowns will be in for a rude awakening once you realize PP is not the popular guy you like to think 🤣,YouTube
N/A,"Yes, let's watch PP lose sooner then later lol",YouTube
N/A,Why? They all Washington's lapdog.,YouTube
N/A,"Yes, call an election, so Carney can wipe the floor with Pierre. 😂",YouTube
N/A,"Can't watch any Canadian politics. Do the complete thing in English then do whatever, at that point I can turn it off",YouTube
N/A, @enzymatic1  If he does Canadians will just assist the US.  Canada will retain its sovereignty one way or the other.,YouTube
N/A, @enzymatic1  did you even know who he was 2 months ago? Is he now your biggest hero and what you want to be when you grow up because the TV told you so?,YouTube
N/A," @onyourbikes  
To be fair even after all this time we don't know all that much about Pierre and what his policies are.",YouTube
N/A, @UzumakiNaruto_ because he only has a single paragraph of words in his vocabulary 😂,YouTube
N/A,"@ We're a bilingual country.  We intersperse English and French.  Sometimes it's the same thing said twice, sometimes it's a new point being made in the other language.  There's always an interpreter.",YouTube
N/A,He probably will...,YouTube
N/A,"He just heard your uppercase loud and clear and should happen immediately, thanks for your service!",YouTube
N/A,He eventually will,YouTube
N/A,Stop spreading russian propaganda,YouTube
N/A,Wef is much worse than Russian propaganda,YouTube
N/A,It's bureaucracy under the guise of democracy,YouTube
N/A,Kim Campbell ring a bell? This is not the first time this has happened.,YouTube
N/A,He just swore allegiance to the crown. We are in a feudal system!,YouTube
N/A,If you’re Canadian you should really learn how our system works,YouTube
N/A,@ do you have anything of value to contribute to this conversation? Any political analysis or insight?,YouTube
N/A,"We wanted Trudeau out,  now he's gone. Carney is the Liberal elected replacement. We'll have a chance to vote him out this year!",YouTube
N/A,oh oh - was that your bus?,YouTube
N/A,Same with most countries. Wake wakey,YouTube
N/A,"@ you will get a minority conservative government at best. Which essentially  means opposition party coalition, as you know no one will work with PP",YouTube
N/A,Very true :(,YouTube
N/A,@ I think you better look in the mirror,YouTube
N/A," @MeghenFarley  actually... democracies (in various forms) are the majority worldwide, though slim",YouTube
N/A,@ Are you Canadian?  Do you know how things work here?,YouTube
N/A,@  I'm thinking Liberal minority the way the conservative lead has collapsed.  That's why we see so many conservative supporters on here setting their hair on fire.,YouTube
N/A,"And they will. They will call an election, they have to. Just relax for a second.",YouTube
N/A," @Goodgodgetagripgirl  relevant username. They have to legally hold an election before October 20, it's scary how ignorant most of this comment section is.",YouTube
N/A,"we voted for the liberal party, not trudeau, the elections get called when the govt votes to do so. Carney legally has a mandate to be PM as late as October if Parliament wants.",YouTube
N/A,you voted for a party mate,YouTube
N/A,I get ya but WE the people never  vote directly for the PM.,YouTube
N/A,we will put the emergency act .. to stay in power !,YouTube
N/A,He is. Research before you comment.,YouTube
N/A,"Has Mark Carney been fully vetted yet like every elected member is required?  Has Mark Carney's full financial disclosure been vetted?
Electors need full disclosure on all candidates in an election.",YouTube
N/A,He’s been PM for 52 min i think y’all can wait at least a day beefier he announces an election lmaooo,YouTube
N/A,TheCanagoose where there are zero articles on him,YouTube
N/A,"@ Well ur acting like that’s his fault lmaooo. That’s the canadian system. Also people did vote for him around 150k, it’s not a lot cause you have to register with the liberal party which you could’ve done if you wanted to vote. It’s free to register unlike in the Conservative party where there’s a fee to register to vote in their leadership races.",YouTube
N/A,"@ Ok that definitely sounds like yo igor that off tiktok from a random conspiracy theorist lol, show the receipts",YouTube
N/A,"@ Where the receipts? Anyone can say anything they want but you gotta back it up. See i can do it too, 20% of Canadians agree that ryan o’leary is not a good person who says false information. Like bro SHOW THE RECEIPTS",YouTube
N/A,I think I just found another russian/musk bot 😂,YouTube
N/A," @SpiritOnEarth  yes, he placed  his assets in a blind trust like previous PMs already, tired question.",YouTube
N/A,"@ Idk about the disqualified candidates but they wouldn’t have won anyways. Mark Carney was extremely popular and ended up getting 86% of the vote. As for the 250k people there’s a really simple answer people just don’t vote. There are 40 million canadians probably around 25million eligible voters not sure on that number but only 150k voted. That’s a terrible turnout rate cause kepler simply don’t care. We have lower voter engagement in Canada than in the US, especially when it comes to less televised or planned elections or even for provincial elections. Voter turnout was only 47% for the recent Ontario provincial election.",YouTube
N/A,Can the man at least sit down for a minute? 😂,YouTube
N/A,Ruby Dhalla was also more of a centrist as well. She could have pulled some votes. I'm. Conservative and was always voting pierre but she had some good points,YouTube
N/A,We did many years ego if we vote Liberal party. We do not vote for presidents if not parties.,YouTube
N/A,its in may you df,YouTube
N/A,Wahhhh we need election wahhhhhh,YouTube
N/A,@ Did I say he wasn't?,YouTube
N/A,"Canadians have never ""voted in"" a Prime Minister.",YouTube
N/A,My guess is you think this is the first time a PM has been introduced this way and don't know that we don't elect the PM but only our MP for our ridings?,YouTube
N/A, @squiglees don’t care he is corrupt.,YouTube
N/A, @squiglees  Yes...But at they time they voted for MP's under the guise of a certain PM being elected at. This is now a bait and switch. Please quit trying to gaslight people. This is wrong on many levels.,YouTube
N/A,Who’s the alternative? Pp?,YouTube
N/A,Mark Carney’s leadership will be interesting to watch as Canada navigates its economic and political landscape. Hoping for policies that benefit all Canadians and drive sustainable growth.,YouTube
N/A,You're a bot!,YouTube
N/A,​@0verload wrong they voted for a party cope harder,YouTube
